,city
0,Запоріжжя,
1,Помічна
2,Ірпінь
3,Лебедин
4,Нова Одеса
5,Рудки
6,Сімферополь
7,Алчевськ
8,Перечин
9,Мерефа
10,Українськ
11,Мирноград
12,Коломия
13,Харцизьк
14,Горохів
15,Севастополь
16,Миронівка
17,Зеленодольськ
18,Путивль
19,Жмеринка
20,Покровськ
21,Ромни
22,Горлівка
23,Вознесенськ
24,Косів
25,Верхньодніпровськ
26,Кілія
27,Василівка 
28,Знам'янка
29,Амвросіївка
30,Привілля
31,Гірське
32,Яворів
33,Комарно
34,Бахчисарай
35,Ладижин
36,Мала Виска
37,Ічня
38,Кам'янець-Подільський
39,Судак 
40,Ялта
41,Лутугине
42,Щастя 
43,Городня
44,Бахмач
45,Монастирище
46,Немирів
47,Прип'ять 
48,Хрустальний
49,Носівка
50,Городок
51,Соледар
52,Кагарлик
53,Тернівка 
54,Винники
55,Олешки
56,Узин
57,Красилів
58,Яготин
59,Белз
60,Дебальцеве
61,Глобине
62,Петрово-Красносілля
63,Рубіжне
64,Пологи 
65,Жидачів
66,Березівка
67,Жовква
68,Білгород-Дністровський
69,Вознесенівка
70,Костянтинівка
71,Добропілля
72,Долина 
73,Стрий
74,Авдіївка
75,Часів Яр
76,Березань 
77,Святогірськ
78,Гайсин
79,Овруч
80,Курахове
81,Алмазна
82,Славутич
83,Острог
84,Житомир
85,Перещепине
86,Харків
87,Українка 
88,Семенівка
89,Шахтарськ
90,Ровеньки
91,Дунаївці
92,Краматорськ
93,Кам'янське
94,Миргород
95,Глиняни
96,Самбір
97,Малин
98,Зимогір'я
99,Дубно
100,Луганськ
101,Першотравенськ
102,Кіцмань
103,Сарни
104,Турка
105,Славута
106,Світловодськ
107,Баранівка
108,Єнакієве
109,Тиврів
110,Інкерман
111,Львів
112,Ходорів
113,Борзна
114,Березне
115,Охтирка
116,Гайворон
117,Канів
118,Одеса
119,Люботин
120,Луцьк
121,Волноваха
122,Нетішин
123,Рахів
124,Хотин
125,Балаклія
126,Южноукраїнськ
127,Феодосія
128,Іршава
129,Дубляни
130,Кременець
131,Очаків
132,Теплодар
133,Здолбунів
134,Угнів
135,Олександрівськ
136,Тараща
137,Попасна
138,Хоростків
139,Броди
140,Рогатин
141,Бердянськ
142,Заставна
143,Новоград-Волинський
144,Гадяч
145,Обухів
146,Кам'янка (Черкаська область)
147,Кропивницький
148,Вовчанськ
149,Зугрес
150,Гребінка
151,Борщів
152,Новоукраїнка
153,Кривий Ріг
154,Умань
155,Боярка
156,Зміїв
157,Бахмут
158,Благовіщенське
159,Сокаль
160,Чорноморськ
161,Рені
162,Бунге 
163,Бібрка
164,Вишгород
165,Козятин
166,Суходільськ
167,Буськ
168,Слов'янськ
169,Ямпіль
170,Нікополь
171,Ржищів
172,Ланівці
173,Горішні Плавні
174,Трускавець
175,Донецьк
176,Вуглегірськ
177,Пирятин
178,Старий Крим
179,Мостиська
180,Копичинці
181,Соснівка 
182,Вараш
183,Хрестівка
184,Снігурівка
185,Торецьк
186,Берегове
187,Красногорівка
188,Новогродівка
189,Кадіївка
190,Подільськ
191,Судова Вишня
192,Новий Калинів
193,Гуляйполе
194,Моспине
195,Генічеськ
196,Чернівці
197,Богуслав
198,Перемишляни
199,Вишневе 
200,Прилуки
201,Решетилівка
202,Іллінці
203,Сколе
204,Полонне
205,Хуст
206,Могилів-Подільський
207,Гірник 
208,Дружківка
209,Географія Вільнянська
210,Ужгород
211,Родинське
212,Хирів
213,Любомль
214,Шпола
215,Липовець
216,Бобринець
217,Валки 
218,Рава-Руська
219,Гнівань
220,Черкаси
221,Сватове
222,Коростишів
223,Вугледар
224,Пустомити
225,Миколаїв
226,Бережани
227,Ватутіне
228,Сніжне
229,Баштанка
230,Сокиряни
